circRNA,Alias
hsa_circRNA_100916,hsa_circ_0008773
hsa_circRNA_100915,hsa_circ_0023904
hsa_circRNA_104030,hsa_circ_0001564
hsa_circRNA_082779,hsa_circ_0082779
hsa_circRNA_104673,hsa_circ_0004610
hsa_circRNA_090449,hsa_circ_0090449
hsa_circRNA_059402,hsa_circ_0059402
hsa_circRNA_001637,hsa_circ_0001637
hsa_circRNA_100156,hsa_circ_0000048
hsa_circRNA_100053,hsa_circ_0009910
hsa_circRNA_075575,hsa_circ_0075575
hsa_circRNA_000346,hsa_circ_0000346
hsa_circRNA_074368,hsa_circ_0074368
hsa_circRNA_010402,hsa_circ_0010402
hsa_circRNA_100048,hsa_circ_0009715
hsa_circRNA_104881,hsa_circ_0088088
hsa_circRNA_076347,hsa_circ_0076347
hsa_circRNA_102382,hsa_circ_0047880
hsa_circRNA_100938,hsa_circ_0008648
hsa_circRNA_103524,hsa_circ_0068162
hsa_circRNA_104589,hsa_circ_0001789
hsa_circRNA_092588,hsa_circ_0001914
hsa_circRNA_008534,hsa_circ_0008534
hsa_circRNA_104530,hsa_circ_0005181
hsa_circRNA_102627,hsa_circ_0008083
hsa_circRNA_008961,hsa_circ_0008961
hsa_circRNA_007313,hsa_circ_0007313
hsa_circRNA_101002,hsa_circ_0025201
hsa_circRNA_100035,hsa_circ_0009117
hsa_circRNA_103395,hsa_circ_0008107
hsa_circRNA_102315,hsa_circ_0000835
hsa_circRNA_102646,hsa_circ_0008257
hsa_circRNA_005566,hsa_circ_0005566
hsa_circRNA_079387,hsa_circ_0079387
hsa_circRNA_104283,hsa_circ_0001667
hsa_circRNA_073248,hsa_circ_0073248
hsa_circRNA_003711,hsa_circ_0003711
hsa_circRNA_100295,hsa_circ_0013451
hsa_circRNA_100661,hsa_circ_0005796
hsa_circRNA_001219,hsa_circ_0001219
hsa_circRNA_004364,hsa_circ_0004364
hsa_circRNA_103156,hsa_circ_0062204
hsa_circRNA_007270,hsa_circ_0007270
hsa_circRNA_102477,hsa_circ_0000909
hsa_circRNA_101839,hsa_circ_0039943
hsa_circRNA_007482,hsa_circ_0007482
hsa_circRNA_006005,hsa_circ_0006005
hsa_circRNA_102331,hsa_circ_0047285
hsa_circRNA_009000,hsa_circ_0009000
hsa_circRNA_007434,hsa_circ_0007434
hsa_circRNA_028090,hsa_circ_0028090
hsa_circRNA_049587,hsa_circ_0049587
hsa_circRNA_102651,hsa_circ_0008911
hsa_circRNA_101444,hsa_circ_0004166
hsa_circRNA_103260,hsa_circ_0063846
hsa_circRNA_042339,hsa_circ_0042339
hsa_circRNA_103561,hsa_circ_0068669
hsa_circRNA_005708,hsa_circ_0005708
hsa_circRNA_104927,hsa_circ_0088737
hsa_circRNA_100748,hsa_circ_0020926
hsa_circRNA_004237,hsa_circ_0004237
hsa_circRNA_104542,hsa_circ_0083157
hsa_circRNA_001381,hsa_circ_0001381
hsa_circRNA_012889,hsa_circ_0012889
hsa_circRNA_004080,hsa_circ_0004080
hsa_circRNA_001153,hsa_circ_0001455
hsa_circRNA_104130,hsa_circ_0076931
hsa_circRNA_104043,hsa_circ_0075437
hsa_circRNA_102664,hsa_circ_0053442
hsa_circRNA_069285,hsa_circ_0069285
hsa_circRNA_100016,hsa_circ_0009360
hsa_circRNA_030228,hsa_circ_0030228
hsa_circRNA_103974,hsa_circ_0001542
hsa_circRNA_032393,hsa_circ_0032393
hsa_circRNA_103362,hsa_circ_0065284
hsa_circRNA_092369,hsa_circ_0000095
hsa_circRNA_100110,hsa_circ_0006913
hsa_circRNA_001490,hsa_circ_0001490
hsa_circRNA_101548,hsa_circ_0008153
hsa_circRNA_076967,hsa_circ_0076967
hsa_circRNA_400023,hsa_circ_0092322
hsa_circRNA_009037,hsa_circ_0009037
hsa_circRNA_007259,hsa_circ_0007259
hsa_circRNA_070897,hsa_circ_0070897
hsa_circRNA_002172,hsa_circ_0000514
hsa_circRNA_001775,hsa_circ_0001775
hsa_circRNA_075366,hsa_circ_0075366
hsa_circRNA_100817,hsa_circ_0005514
hsa_circRNA_101231,hsa_circ_0000467
hsa_circRNA_040111,hsa_circ_0040111
hsa_circRNA_103620,hsa_circ_0007820
hsa_circRNA_102300,hsa_circ_0006990
hsa_circRNA_000782,hsa_circ_0000230
hsa_circRNA_008706,hsa_circ_0008706
hsa_circRNA_103788,hsa_circ_0071842
hsa_circRNA_101086,hsa_circ_0000411
hsa_circRNA_005250,hsa_circ_0005250
hsa_circRNA_021708,hsa_circ_0021708
hsa_circRNA_089739,hsa_circ_0089739
hsa_circRNA_103846,hsa_circ_0002512
hsa_circRNA_103744,hsa_circ_0006552
hsa_circRNA_086412,hsa_circ_0086412
hsa_circRNA_103749,hsa_circ_0005480
hsa_circRNA_008026,hsa_circ_0008026
hsa_circRNA_008336,hsa_circ_0008336
hsa_circRNA_092365,hsa_circ_0000041
hsa_circRNA_028879,hsa_circ_0028879
hsa_circRNA_055723,hsa_circ_0055723
hsa_circRNA_102610,hsa_circ_0000972
hsa_circRNA_102424,hsa_circ_0004720
hsa_circRNA_103191,hsa_circ_0003056
hsa_circRNA_002458,hsa_circ_0002458
hsa_circRNA_002487,hsa_circ_0002487
hsa_circRNA_103315,hsa_circ_0064716
hsa_circRNA_001201,hsa_circ_0001816
hsa_circRNA_104950,hsa_circ_0089252
hsa_circRNA_003424,hsa_circ_0003424
hsa_circRNA_101244,hsa_circ_0000469
hsa_circRNA_055290,hsa_circ_0055290
hsa_circRNA_101684,hsa_circ_0037511
hsa_circRNA_103297,hsa_circ_0064416
hsa_circRNA_104892,hsa_circ_0002052
hsa_circRNA_102809,hsa_circ_0056264
hsa_circRNA_103907,hsa_circ_0073239
hsa_circRNA_101807,hsa_circ_0004791
hsa_circRNA_102009,hsa_circ_0042498
hsa_circRNA_004090,hsa_circ_0004090
hsa_circRNA_100208,hsa_circ_0012283
hsa_circRNA_103397,hsa_circ_0001975
hsa_circRNA_103858,hsa_circ_0009162
hsa_circRNA_000776,hsa_circ_0001929
hsa_circRNA_000760,hsa_circ_0000760
hsa_circRNA_071127,hsa_circ_0071127
hsa_circRNA_001736,hsa_circ_0001736
hsa_circRNA_100841,hsa_circ_0022589
hsa_circRNA_017758,hsa_circ_0017758
hsa_circRNA_103343,hsa_circ_0002569
hsa_circRNA_102150,hsa_circ_0045038
hsa_circRNA_101123,hsa_circ_0006258
hsa_circRNA_012172,hsa_circ_0012172
hsa_circRNA_012173,hsa_circ_0012173
hsa_circRNA_029827,hsa_circ_0029827
hsa_circRNA_002453,hsa_circ_0002453
hsa_circRNA_001609,hsa_circ_0001826
hsa_circRNA_101215,hsa_circ_0029531
hsa_circRNA_080790,hsa_circ_0080790
hsa_circRNA_400099,hsa_circ_0092350
hsa_circRNA_102054,hsa_circ_0004457
hsa_circRNA_071862,hsa_circ_0071862
hsa_circRNA_007951,hsa_circ_0007951
hsa_circRNA_011449,hsa_circ_0011449
hsa_circRNA_085946,hsa_circ_0085946
hsa_circRNA_100371,hsa_circ_0015003
hsa_circRNA_028671,hsa_circ_0028671
hsa_circRNA_103386,hsa_circ_0007485
hsa_circRNA_101187,hsa_circ_0006030
hsa_circRNA_074944,hsa_circ_0074944
hsa_circRNA_005778,hsa_circ_0005778
hsa_circRNA_103799,hsa_circ_0008646
hsa_circRNA_100833,hsa_circ_0022383
hsa_circRNA_055629,hsa_circ_0055629
hsa_circRNA_101109,hsa_circ_0005550
hsa_circRNA_100163,hsa_circ_0011542
hsa_circRNA_002806,hsa_circ_0002806
hsa_circRNA_000792,hsa_circ_0000291
hsa_circRNA_103574,hsa_circ_0005873
hsa_circRNA_104106,hsa_circ_0006232
hsa_circRNA_100539,hsa_circ_0017627
hsa_circRNA_039816,hsa_circ_0039816
hsa_circRNA_004437,hsa_circ_0004437
hsa_circRNA_000191,hsa_circ_0000611
hsa_circRNA_104159,hsa_circ_0008321
hsa_circRNA_104308,hsa_circ_0079375
hsa_circRNA_101424,hsa_circ_0032883
hsa_circRNA_100454,hsa_circ_0007015
hsa_circRNA_008636,hsa_circ_0008636
hsa_circRNA_002680,hsa_circ_0002680
hsa_circRNA_100412,hsa_circ_0015454
hsa_circRNA_103154,hsa_circ_0062165
hsa_circRNA_000855,hsa_circ_0000632
hsa_circRNA_101464,hsa_circ_0034182
hsa_circRNA_102712,hsa_circ_0005542
hsa_circRNA_060303,hsa_circ_0060303
hsa_circRNA_047086,hsa_circ_0047086
hsa_circRNA_400103,hsa_circ_0092346
hsa_circRNA_091743,hsa_circ_0091743
hsa_circRNA_089660,hsa_circ_0089660
hsa_circRNA_063722,hsa_circ_0063722
hsa_circRNA_104161,hsa_circ_0077514
hsa_circRNA_036286,hsa_circ_0036286
hsa_circRNA_101689,hsa_circ_0007763
hsa_circRNA_102208,hsa_circ_0045888
hsa_circRNA_400036,hsa_circ_0092284
hsa_circRNA_073329,hsa_circ_0073329
hsa_circRNA_100340,hsa_circ_0014186
hsa_circRNA_070032,hsa_circ_0070032
hsa_circRNA_103815,hsa_circ_0072264
hsa_circRNA_101916,hsa_circ_0002507
hsa_circRNA_007004,hsa_circ_0007004
hsa_circRNA_104677,hsa_circ_0085434
hsa_circRNA_101567,hsa_circ_0035958
hsa_circRNA_067680,hsa_circ_0067680
hsa_circRNA_103886,hsa_circ_0072940
hsa_circRNA_035265,hsa_circ_0035265
hsa_circRNA_102100,hsa_circ_0044226
hsa_circRNA_021467,hsa_circ_0021467
hsa_circRNA_076875,hsa_circ_0076875
hsa_circRNA_017675,hsa_circ_0017675
hsa_circRNA_102202,hsa_circ_0003646
hsa_circRNA_100254,hsa_circ_0012857
hsa_circRNA_102431,hsa_circ_0048956
hsa_circRNA_104859,hsa_circ_0087905
hsa_circRNA_092540,hsa_circ_0001408
hsa_circRNA_036566,hsa_circ_0036566
hsa_circRNA_066187,hsa_circ_0066187
hsa_circRNA_104394,hsa_circ_0005588
hsa_circRNA_104524,hsa_circ_0002810
hsa_circRNA_070949,hsa_circ_0070949
hsa_circRNA_000651,hsa_circ_0000950
hsa_circRNA_103754,hsa_circ_0071174
hsa_circRNA_004798,hsa_circ_0004798
hsa_circRNA_000433,hsa_circ_0000433
hsa_circRNA_014213,hsa_circ_0014213
hsa_circRNA_103034,hsa_circ_0059998
hsa_circRNA_103722,hsa_circ_0007184
hsa_circRNA_101106,hsa_circ_0005450
hsa_circRNA_102080,hsa_circ_0043921
hsa_circRNA_103336,hsa_circ_0065049
hsa_circRNA_068109,hsa_circ_0068109
hsa_circRNA_007514,hsa_circ_0007514
hsa_circRNA_020197,hsa_circ_0020197
hsa_circRNA_051334,hsa_circ_0051334
hsa_circRNA_101205,hsa_circ_0006078
hsa_circRNA_001383,hsa_circ_0000622
hsa_circRNA_075094,hsa_circ_0075094
hsa_circRNA_091581,hsa_circ_0091581
hsa_circRNA_102549,hsa_circ_0004952
hsa_circRNA_001287,hsa_circ_0001287
hsa_circRNA_101165,hsa_circ_0028605
hsa_circRNA_000803,hsa_circ_0000159
hsa_circRNA_102242,hsa_circ_0046447
hsa_circRNA_102738,hsa_circ_0054908
hsa_circRNA_100726,hsa_circ_0002456
hsa_circRNA_100103,hsa_circ_0000033
hsa_circRNA_102305,hsa_circ_0046968
hsa_circRNA_038479,hsa_circ_0038479
hsa_circRNA_081984,hsa_circ_0081984
hsa_circRNA_103621,hsa_circ_0001402
hsa_circRNA_101516,hsa_circ_0002551
hsa_circRNA_102834,hsa_circ_0004955
hsa_circRNA_100201,hsa_circ_0002563
hsa_circRNA_104384,hsa_circ_0080342
hsa_circRNA_000161,hsa_circ_0000161
hsa_circRNA_104919,hsa_circ_0088511
hsa_circRNA_009062,hsa_circ_0009062
hsa_circRNA_000474,hsa_circ_0000474
hsa_circRNA_100765,hsa_circ_0000279
hsa_circRNA_100766,hsa_circ_0000280
hsa_circRNA_000317,hsa_circ_0000317
hsa_circRNA_048113,hsa_circ_0048113
hsa_circRNA_104936,hsa_circ_0089033
hsa_circRNA_003179,hsa_circ_0003179
hsa_circRNA_103117,hsa_circ_0061395
hsa_circRNA_051800,hsa_circ_0051800
hsa_circRNA_002011,hsa_circ_0000606
hsa_circRNA_025196,hsa_circ_0025196
hsa_circRNA_102841,hsa_circ_0056898
hsa_circRNA_030997,hsa_circ_0030997
hsa_circRNA_103965,hsa_circ_0004503
hsa_circRNA_005395,hsa_circ_0005395
hsa_circRNA_002534,hsa_circ_0002534
hsa_circRNA_103599,hsa_circ_0006681
hsa_circRNA_103598,hsa_circ_0069104
hsa_circRNA_104815,hsa_circ_0006702
hsa_circRNA_101013,hsa_circ_0004123
hsa_circRNA_001123,hsa_circ_0001014
hsa_circRNA_004065,hsa_circ_0004065
hsa_circRNA_021156,hsa_circ_0021156
hsa_circRNA_104314,hsa_circ_0079449
hsa_circRNA_008603,hsa_circ_0008603
hsa_circRNA_102319,hsa_circ_0008190
hsa_circRNA_400096,hsa_circ_0092274
hsa_circRNA_103786,hsa_circ_0071786
hsa_circRNA_002744,hsa_circ_0002744
hsa_circRNA_007245,hsa_circ_0007245
hsa_circRNA_101647,hsa_circ_0036768
hsa_circRNA_027733,hsa_circ_0027733
hsa_circRNA_102808,hsa_circ_0056247
hsa_circRNA_400062,hsa_circ_0092291
hsa_circRNA_027072,hsa_circ_0027072
hsa_circRNA_016266,hsa_circ_0016266
hsa_circRNA_016263,hsa_circ_0016263
hsa_circRNA_007924,hsa_circ_0007924
hsa_circRNA_104563,hsa_circ_0083442
hsa_circRNA_104056,hsa_circ_0007429
hsa_circRNA_008421,hsa_circ_0008421
hsa_circRNA_101009,hsa_circ_0025388
hsa_circRNA_101504,hsa_circ_0002151
hsa_circRNA_104948,hsa_circ_0001897
hsa_circRNA_103422,hsa_circ_0066640
hsa_circRNA_100853,hsa_circ_0022997
hsa_circRNA_058196,hsa_circ_0058196
hsa_circRNA_100368,hsa_circ_0014923
hsa_circRNA_101726,hsa_circ_0038138
hsa_circRNA_100725,hsa_circ_0020467
hsa_circRNA_100693,hsa_circ_0020174
hsa_circRNA_036633,hsa_circ_0036633
hsa_circRNA_092503,hsa_circ_0001129
hsa_circRNA_103850,hsa_circ_0003503
hsa_circRNA_100179,hsa_circ_0011871
hsa_circRNA_101767,hsa_circ_0038648
hsa_circRNA_001588,hsa_circ_0001588
hsa_circRNA_104254,hsa_circ_0001663
hsa_circRNA_101553,hsa_circ_0000614
hsa_circRNA_007420,hsa_circ_0007420
hsa_circRNA_104503,hsa_circ_0082582
hsa_circRNA_102441,hsa_circ_0049249
hsa_circRNA_100155,hsa_circ_0011458
hsa_circRNA_103889,hsa_circ_0001497
hsa_circRNA_069486,hsa_circ_0069486
hsa_circRNA_101582,hsa_circ_0005857
hsa_circRNA_000941,hsa_circ_0001293
hsa_circRNA_001915,hsa_circ_0000092
hsa_circRNA_079926,hsa_circ_0079926
hsa_circRNA_102152,hsa_circ_0007759
hsa_circRNA_104192,hsa_circ_0077929
hsa_circRNA_001151,hsa_circ_0001151
hsa_circRNA_088292,hsa_circ_0088292
hsa_circRNA_061110,hsa_circ_0061110
hsa_circRNA_047827,hsa_circ_0047827
hsa_circRNA_019086,hsa_circ_0019086
hsa_circRNA_004353,hsa_circ_0004353
hsa_circRNA_102234,hsa_circ_0046292
hsa_circRNA_005438,hsa_circ_0005438
hsa_circRNA_074537,hsa_circ_0074537
hsa_circRNA_020967,hsa_circ_0020967
hsa_circRNA_103753,hsa_circ_0004780
hsa_circRNA_100222,hsa_circ_0012415
hsa_circRNA_020657,hsa_circ_0020657
hsa_circRNA_100377,hsa_circ_0015093
hsa_circRNA_000789,hsa_circ_0000789
hsa_circRNA_008599,hsa_circ_0008599
hsa_circRNA_000846,hsa_circ_0000846
hsa_circRNA_031972,hsa_circ_0031972
hsa_circRNA_102370,hsa_circ_0047700
hsa_circRNA_072587,hsa_circ_0072587
hsa_circRNA_018803,hsa_circ_0018803
hsa_circRNA_104441,hsa_circ_0005253
hsa_circRNA_101310,hsa_circ_0031038
hsa_circRNA_004129,hsa_circ_0004129
hsa_circRNA_001388,hsa_circ_0001388
hsa_circRNA_000275,hsa_circ_0000275
hsa_circRNA_002412,hsa_circ_0002412
hsa_circRNA_105011,hsa_circ_0091104
hsa_circRNA_104555,hsa_circ_0083377
hsa_circRNA_078175,hsa_circ_0078175
hsa_circRNA_062161,hsa_circ_0062161
hsa_circRNA_007584,hsa_circ_0007584
hsa_circRNA_104575,hsa_circ_0083766
hsa_circRNA_007352,hsa_circ_0007352
hsa_circRNA_065264,hsa_circ_0065264
hsa_circRNA_103365,hsa_circ_0005435
hsa_circRNA_092558,hsa_circ_0001594
hsa_circRNA_101445,hsa_circ_0008995
hsa_circRNA_008817,hsa_circ_0008817
hsa_circRNA_089863,hsa_circ_0089863
hsa_circRNA_007383,hsa_circ_0007383
hsa_circRNA_102864,hsa_circ_0057234
hsa_circRNA_037654,hsa_circ_0037654
hsa_circRNA_012818,hsa_circ_0012818
hsa_circRNA_100136,hsa_circ_0000045
hsa_circRNA_100815,hsa_circ_0004075
hsa_circRNA_087497,hsa_circ_0087497
hsa_circRNA_006989,hsa_circ_0006989
hsa_circRNA_104112,hsa_circ_0076522
hsa_circRNA_043564,hsa_circ_0043564
hsa_circRNA_101756,hsa_circ_0038487
hsa_circRNA_102822,hsa_circ_0056536
hsa_circRNA_103228,hsa_circ_0063416
hsa_circRNA_001018,hsa_circ_0001018
hsa_circRNA_047474,hsa_circ_0047474
hsa_circRNA_103605,hsa_circ_0009006
hsa_circRNA_022963,hsa_circ_0022963
hsa_circRNA_001755,hsa_circ_0001755
hsa_circRNA_102218,hsa_circ_0046092
hsa_circRNA_069397,hsa_circ_0069397
hsa_circRNA_104582,hsa_circ_0007409
hsa_circRNA_104612,hsa_circ_0084170
hsa_circRNA_001310,hsa_circ_0001310
hsa_circRNA_103762,hsa_circ_0006225
hsa_circRNA_102889,hsa_circ_0004757
hsa_circRNA_007737,hsa_circ_0007737
hsa_circRNA_101928,hsa_circ_0005351
hsa_circRNA_101154,hsa_circ_0002488
hsa_circRNA_001054,hsa_circ_0000495
hsa_circRNA_092569,hsa_circ_0001701
hsa_circRNA_101835,hsa_circ_0005615
hsa_circRNA_102655,hsa_circ_0000987
hsa_circRNA_001580,hsa_circ_0001580
hsa_circRNA_104366,hsa_circ_0006229
hsa_circRNA_062712,hsa_circ_0062712
hsa_circRNA_003916,hsa_circ_0003916
hsa_circRNA_006802,hsa_circ_0006802
hsa_circRNA_104923,hsa_circ_0002303
hsa_circRNA_104946,hsa_circ_0005871
hsa_circRNA_055554,hsa_circ_0055554
hsa_circRNA_102574,hsa_circ_0008263
hsa_circRNA_038981,hsa_circ_0038981
hsa_circRNA_005642,hsa_circ_0005642
hsa_circRNA_003943,hsa_circ_0003943
hsa_circRNA_104297,hsa_circ_0004703
hsa_circRNA_101675,hsa_circ_0000665
hsa_circRNA_004762,hsa_circ_0004762
hsa_circRNA_101175,hsa_circ_0028899
hsa_circRNA_104730,hsa_circ_0002874
hsa_circRNA_103011,hsa_circ_0002441
hsa_circRNA_103441,hsa_circ_0066887
hsa_circRNA_103442,hsa_circ_0003763
hsa_circRNA_003081,hsa_circ_0003081
hsa_circRNA_042835,hsa_circ_0042835
hsa_circRNA_101658,hsa_circ_0003062
hsa_circRNA_100999,hsa_circ_0025006
hsa_circRNA_070707,hsa_circ_0070707
hsa_circRNA_008177,hsa_circ_0008177
hsa_circRNA_000740,hsa_circ_0001579
hsa_circRNA_056891,hsa_circ_0056891
hsa_circRNA_102759,hsa_circ_0055151
hsa_circRNA_103746,hsa_circ_0071099
hsa_circRNA_079990,hsa_circ_0079990
hsa_circRNA_101900,hsa_circ_0040809
hsa_circRNA_038669,hsa_circ_0038669
hsa_circRNA_100914,hsa_circ_0023903
hsa_circRNA_103025,hsa_circ_0059865
hsa_circRNA_068482,hsa_circ_0068482
hsa_circRNA_002079,hsa_circ_0002079
hsa_circRNA_104729,hsa_circ_0006370
hsa_circRNA_003267,hsa_circ_0003267
hsa_circRNA_101657,hsa_circ_0005035
hsa_circRNA_001587,hsa_circ_0000979
hsa_circRNA_104108,hsa_circ_0076412
hsa_circRNA_101580,hsa_circ_0005203
hsa_circRNA_007175,hsa_circ_0007175
hsa_circRNA_101053,hsa_circ_0009035
hsa_circRNA_100745,hsa_circ_0007401
hsa_circRNA_100744,hsa_circ_0020913
hsa_circRNA_002194,hsa_circ_0002194
hsa_circRNA_040943,hsa_circ_0040943
hsa_circRNA_028595,hsa_circ_0028595
hsa_circRNA_102184,hsa_circ_0045462
hsa_circRNA_104775,hsa_circ_0001855
hsa_circRNA_001856,hsa_circ_0001856
hsa_circRNA_029830,hsa_circ_0029830
hsa_circRNA_002268,hsa_circ_0002268
hsa_circRNA_073270,hsa_circ_0073270
hsa_circRNA_105035,hsa_circ_0091671
hsa_circRNA_100113,hsa_circ_0011107
hsa_circRNA_103392,hsa_circ_0001974
hsa_circRNA_100145,hsa_circ_0011377
hsa_circRNA_002603,hsa_circ_0002603
hsa_circRNA_101357,hsa_circ_0006831
hsa_circRNA_100737,hsa_circ_0008301
hsa_circRNA_023822,hsa_circ_0023822
hsa_circRNA_051859,hsa_circ_0051859
hsa_circRNA_001978,hsa_circ_0001903
hsa_circRNA_007661,hsa_circ_0007661
hsa_circRNA_007630,hsa_circ_0007630
hsa_circRNA_105010,hsa_circ_0091074
hsa_circRNA_005528,hsa_circ_0005528
hsa_circRNA_100987,hsa_circ_0004296
hsa_circRNA_101345,hsa_circ_0031677
hsa_circRNA_105000,hsa_circ_0002724
hsa_circRNA_103090,hsa_circ_0060909
hsa_circRNA_100912,hsa_circ_0003695
hsa_circRNA_101935,hsa_circ_0041213
hsa_circRNA_100618,hsa_circ_0008662
hsa_circRNA_003875,hsa_circ_0003875
hsa_circRNA_100115,hsa_circ_0011120
hsa_circRNA_101816,hsa_circ_0005941
hsa_circRNA_019646,hsa_circ_0019646
hsa_circRNA_009366,hsa_circ_0009366
hsa_circRNA_028613,hsa_circ_0028613
hsa_circRNA_100091,hsa_circ_0002402
hsa_circRNA_100090,hsa_circ_0008563
hsa_circRNA_026813,hsa_circ_0026813
hsa_circRNA_101271,hsa_circ_0030388
hsa_circRNA_000646,hsa_circ_0000646
hsa_circRNA_003540,hsa_circ_0003540
hsa_circRNA_031147,hsa_circ_0031147
hsa_circRNA_039134,hsa_circ_0039134
hsa_circRNA_009438,hsa_circ_0009438
hsa_circRNA_101692,hsa_circ_0005692
hsa_circRNA_001544,hsa_circ_0001544
hsa_circRNA_019682,hsa_circ_0019682
hsa_circRNA_103418,hsa_circ_0066598
hsa_circRNA_103016,hsa_circ_0006653
hsa_circRNA_059751,hsa_circ_0059751
hsa_circRNA_105038,hsa_circ_0091894
hsa_circRNA_065228,hsa_circ_0065228
hsa_circRNA_101376,hsa_circ_0003485
hsa_circRNA_100073,hsa_circ_0010358
hsa_circRNA_002561,hsa_circ_0002561
hsa_circRNA_017235,hsa_circ_0017235
hsa_circRNA_036765,hsa_circ_0036765
hsa_circRNA_003308,hsa_circ_0003308
hsa_circRNA_100253,hsa_circ_0012850
hsa_circRNA_104663,hsa_circ_0085133
hsa_circRNA_000879,hsa_circ_0000879
hsa_circRNA_104667,hsa_circ_0005962
hsa_circRNA_100439,hsa_circ_0016343
hsa_circRNA_004234,hsa_circ_0004234
hsa_circRNA_006141,hsa_circ_0006141
hsa_circRNA_049600,hsa_circ_0049600
hsa_circRNA_002833,hsa_circ_0002833
hsa_circRNA_003991,hsa_circ_0003991
hsa_circRNA_100472,hsa_circ_0016760
hsa_circRNA_003143,hsa_circ_0003143
hsa_circRNA_000967,hsa_circ_0000967
hsa_circRNA_007652,hsa_circ_0007652
hsa_circRNA_103245,hsa_circ_0002610
hsa_circRNA_077434,hsa_circ_0077434
hsa_circRNA_100455,hsa_circ_0007615
hsa_circRNA_001818,hsa_circ_0000066
hsa_circRNA_104298,hsa_circ_0079330
hsa_circRNA_102948,hsa_circ_0058753
hsa_circRNA_004407,hsa_circ_0004407
hsa_circRNA_104362,hsa_circ_0080085
hsa_circRNA_004585,hsa_circ_0004585
hsa_circRNA_002922,hsa_circ_0002922
hsa_circRNA_034037,hsa_circ_0034037
hsa_circRNA_034095,hsa_circ_0034095
hsa_circRNA_045309,hsa_circ_0045309
hsa_circRNA_092582,hsa_circ_0001857
hsa_circRNA_002444,hsa_circ_0002444
hsa_circRNA_101200,hsa_circ_0029308
hsa_circRNA_102302,hsa_circ_0046938
hsa_circRNA_103994,hsa_circ_0074736
hsa_circRNA_001606,hsa_circ_0001606
hsa_circRNA_102307,hsa_circ_0000830
hsa_circRNA_103829,hsa_circ_0072387
hsa_circRNA_102971,hsa_circ_0004924
hsa_circRNA_101468,hsa_circ_0034294
hsa_circRNA_100589,hsa_circ_0002968
hsa_circRNA_103412,hsa_circ_0004276
hsa_circRNA_001269,hsa_circ_0001269
hsa_circRNA_000150,hsa_circ_0000150
hsa_circRNA_102030,hsa_circ_0007085
hsa_circRNA_000695,hsa_circ_0001336
hsa_circRNA_102669,hsa_circ_0053786
hsa_circRNA_088070,hsa_circ_0088070
hsa_circRNA_052372,hsa_circ_0052372
hsa_circRNA_045697,hsa_circ_0045697
hsa_circRNA_000329,hsa_circ_0001138
hsa_circRNA_007557,hsa_circ_0007557
hsa_circRNA_102760,hsa_circ_0055161
hsa_circRNA_100691,hsa_circ_0020117
hsa_circRNA_103651,hsa_circ_0069795
hsa_circRNA_100104,hsa_circ_0000034
hsa_circRNA_007507,hsa_circ_0007507
hsa_circRNA_104915,hsa_circ_0088485
hsa_circRNA_020094,hsa_circ_0020094
hsa_circRNA_104955,hsa_circ_0089392
hsa_circRNA_102566,hsa_circ_0003312
hsa_circRNA_103194,hsa_circ_0062760
hsa_circRNA_071347,hsa_circ_0071347
hsa_circRNA_100346,hsa_circ_0004717
hsa_circRNA_007563,hsa_circ_0007563
hsa_circRNA_004669,hsa_circ_0004669
hsa_circRNA_100747,hsa_circ_0004960
hsa_circRNA_005214,hsa_circ_0005214
hsa_circRNA_018309,hsa_circ_0018309
hsa_circRNA_089986,hsa_circ_0089986
hsa_circRNA_103273,hsa_circ_0064039
hsa_circRNA_104476,hsa_circ_0082218
hsa_circRNA_104900,hsa_circ_0088252
hsa_circRNA_100205,hsa_circ_0012265
hsa_circRNA_103364,hsa_circ_0065301
hsa_circRNA_000139,hsa_circ_0000392
hsa_circRNA_101221,hsa_circ_0029596
hsa_circRNA_038901,hsa_circ_0038901
hsa_circRNA_104682,hsa_circ_0085496
hsa_circRNA_026686,hsa_circ_0026686
hsa_circRNA_036906,hsa_circ_0036906
hsa_circRNA_085973,hsa_circ_0085973
hsa_circRNA_082162,hsa_circ_0082162
hsa_circRNA_074657,hsa_circ_0074657
hsa_circRNA_104301,hsa_circ_0006093
hsa_circRNA_052345,hsa_circ_0052345
hsa_circRNA_051641,hsa_circ_0051641
hsa_circRNA_103376,hsa_circ_0006531
hsa_circRNA_041782,hsa_circ_0041782
hsa_circRNA_086159,hsa_circ_0086159
hsa_circRNA_017873,hsa_circ_0017873
hsa_circRNA_000942,hsa_circ_0001303
hsa_circRNA_100362,hsa_circ_0000142
hsa_circRNA_104799,hsa_circ_0087302
hsa_circRNA_104206,hsa_circ_0001649
hsa_circRNA_104347,hsa_circ_0002315
hsa_circRNA_060185,hsa_circ_0060185
hsa_circRNA_060184,hsa_circ_0060184
hsa_circRNA_104897,hsa_circ_0088227
hsa_circRNA_103240,hsa_circ_0007704
hsa_circRNA_014206,hsa_circ_0014206
hsa_circRNA_036271,hsa_circ_0036271
hsa_circRNA_100271,hsa_circ_0002008
hsa_circRNA_104522,hsa_circ_0082950
hsa_circRNA_005660,hsa_circ_0005660
hsa_circRNA_000901,hsa_circ_0000901
hsa_circRNA_101979,hsa_circ_0042072
