circRNA,Alias
hsa_circRNA_102890,hsa_circ_0002867
hsa_circRNA_067240,hsa_circ_0067240
hsa_circRNA_005828,hsa_circ_0005828
hsa_circRNA_102469,hsa_circ_0008432
hsa_circRNA_103795,hsa_circ_0007638
hsa_circRNA_102891,hsa_circ_0003071
hsa_circRNA_002876,hsa_circ_0002876
hsa_circRNA_101375,hsa_circ_0032304
hsa_circRNA_100794,hsa_circ_0003768
hsa_circRNA_104770,hsa_circ_0086748
hsa_circRNA_021832,hsa_circ_0021832
hsa_circRNA_079201,hsa_circ_0079201
hsa_circRNA_001710,hsa_circ_0001710
hsa_circRNA_000506,hsa_circ_0000506
hsa_circRNA_102781,hsa_circ_0055605
hsa_circRNA_002635,hsa_circ_0002635
hsa_circRNA_103868,hsa_circ_0072797
hsa_circRNA_024067,hsa_circ_0024067
hsa_circRNA_100018,hsa_circ_0009361
hsa_circRNA_104766,hsa_circ_0001851
hsa_circRNA_103630,hsa_circ_0069570
hsa_circRNA_101378,hsa_circ_0032353
hsa_circRNA_102892,hsa_circ_0057703
hsa_circRNA_105043,hsa_circ_0007100
hsa_circRNA_102923,hsa_circ_0058451
hsa_circRNA_001635,hsa_circ_0001635
hsa_circRNA_102766,hsa_circ_0055251
hsa_circRNA_002102,hsa_circ_0002102
hsa_circRNA_092535,hsa_circ_0001379
hsa_circRNA_101527,hsa_circ_0006380
hsa_circRNA_049704,hsa_circ_0049704
hsa_circRNA_030448,hsa_circ_0030448
hsa_circRNA_017037,hsa_circ_0017037
hsa_circRNA_104751,hsa_circ_0003762
hsa_circRNA_104883,hsa_circ_0088090
hsa_circRNA_103991,hsa_circ_0006694
hsa_circRNA_076654,hsa_circ_0076654
hsa_circRNA_101648,hsa_circ_0000651
hsa_circRNA_034559,hsa_circ_0034559
hsa_circRNA_100418,hsa_circ_0015663
hsa_circRNA_089506,hsa_circ_0089506
hsa_circRNA_100719,hsa_circ_0020390
hsa_circRNA_001220,hsa_circ_0001220
hsa_circRNA_102013,hsa_circ_0003481
hsa_circRNA_104026,hsa_circ_0005819
hsa_circRNA_005248,hsa_circ_0005248
hsa_circRNA_083824,hsa_circ_0083824
hsa_circRNA_083815,hsa_circ_0083815
hsa_circRNA_000761,hsa_circ_0000761
hsa_circRNA_102294,hsa_circ_0000826
hsa_circRNA_101978,hsa_circ_0005869
hsa_circRNA_056978,hsa_circ_0056978
hsa_circRNA_000521,hsa_circ_0000521
hsa_circRNA_052153,hsa_circ_0052153
hsa_circRNA_050054,hsa_circ_0050054
hsa_circRNA_047559,hsa_circ_0047559
hsa_circRNA_051908,hsa_circ_0051908
hsa_circRNA_020960,hsa_circ_0020960
hsa_circRNA_089353,hsa_circ_0089353
hsa_circRNA_008077,hsa_circ_0008077
hsa_circRNA_034125,hsa_circ_0034125
hsa_circRNA_000562,hsa_circ_0000562
hsa_circRNA_103952,hsa_circ_0074079
hsa_circRNA_039714,hsa_circ_0039714
hsa_circRNA_101603,hsa_circ_0006842
hsa_circRNA_006345,hsa_circ_0006345
hsa_circRNA_061975,hsa_circ_0061975
hsa_circRNA_086348,hsa_circ_0086348
hsa_circRNA_000449,hsa_circ_0000449
hsa_circRNA_102987,hsa_circ_0002619
hsa_circRNA_015871,hsa_circ_0015871
hsa_circRNA_100058,hsa_circ_0009986
hsa_circRNA_100067,hsa_circ_0000020
hsa_circRNA_102633,hsa_circ_0005952
hsa_circRNA_002822,hsa_circ_0002822
hsa_circRNA_101081,hsa_circ_0000408
hsa_circRNA_103997,hsa_circ_0074816
hsa_circRNA_057607,hsa_circ_0057607
hsa_circRNA_003251,hsa_circ_0003251
hsa_circRNA_104213,hsa_circ_0078165
hsa_circRNA_091722,hsa_circ_0091722
hsa_circRNA_077879,hsa_circ_0077879
hsa_circRNA_006750,hsa_circ_0006750
hsa_circRNA_002912,hsa_circ_0002912
hsa_circRNA_027588,hsa_circ_0027588
hsa_circRNA_103730,hsa_circ_0005654
hsa_circRNA_003033,hsa_circ_0003033
hsa_circRNA_000564,hsa_circ_0000564
hsa_circRNA_100167,hsa_circ_0011572
hsa_circRNA_101805,hsa_circ_0039261
hsa_circRNA_077745,hsa_circ_0077745
hsa_circRNA_016661,hsa_circ_0016661
hsa_circRNA_083127,hsa_circ_0083127
hsa_circRNA_036127,hsa_circ_0036127
hsa_circRNA_031210,hsa_circ_0031210
hsa_circRNA_100594,hsa_circ_0006820
hsa_circRNA_100356,hsa_circ_0014624
hsa_circRNA_004145,hsa_circ_0004145
hsa_circRNA_103495,hsa_circ_0001349
hsa_circRNA_103308,hsa_circ_0064584
hsa_circRNA_054547,hsa_circ_0054547
hsa_circRNA_103492,hsa_circ_0001346
hsa_circRNA_006861,hsa_circ_0006861
hsa_circRNA_104323,hsa_circ_0079534
hsa_circRNA_100517,hsa_circ_0017348
hsa_circRNA_007019,hsa_circ_0007019
hsa_circRNA_087581,hsa_circ_0087581
hsa_circRNA_104882,hsa_circ_0003597
hsa_circRNA_002481,hsa_circ_0002481
hsa_circRNA_100872,hsa_circ_0000337
hsa_circRNA_004650,hsa_circ_0004650
hsa_circRNA_007091,hsa_circ_0007091
hsa_circRNA_104803,hsa_circ_0087354
hsa_circRNA_005185,hsa_circ_0005185
hsa_circRNA_049637,hsa_circ_0049637
hsa_circRNA_101577,hsa_circ_0003166
hsa_circRNA_003657,hsa_circ_0003657
hsa_circRNA_100093,hsa_circ_0004808
hsa_circRNA_061687,hsa_circ_0061687
hsa_circRNA_104054,hsa_circ_0075533
hsa_circRNA_028826,hsa_circ_0028826
hsa_circRNA_100613,hsa_circ_0018611
hsa_circRNA_008945,hsa_circ_0008945
hsa_circRNA_005995,hsa_circ_0005995
hsa_circRNA_100080,hsa_circ_0005782
hsa_circRNA_006238,hsa_circ_0006238
hsa_circRNA_017648,hsa_circ_0017648
hsa_circRNA_002971,hsa_circ_0002971
hsa_circRNA_004350,hsa_circ_0004350
hsa_circRNA_103663,hsa_circ_0070022
hsa_circRNA_008134,hsa_circ_0008134
hsa_circRNA_044014,hsa_circ_0044014
hsa_circRNA_102491,hsa_circ_0008135
hsa_circRNA_040831,hsa_circ_0040831
hsa_circRNA_007239,hsa_circ_0007239
hsa_circRNA_044904,hsa_circ_0044904
hsa_circRNA_104839,hsa_circ_0087643
hsa_circRNA_103462,hsa_circ_0007841
hsa_circRNA_005208,hsa_circ_0005208
hsa_circRNA_104081,hsa_circ_0075825
hsa_circRNA_052254,hsa_circ_0052254
hsa_circRNA_000166,hsa_circ_0000512
hsa_circRNA_073630,hsa_circ_0073630
hsa_circRNA_080052,hsa_circ_0080052
hsa_circRNA_104450,hsa_circ_0002747
hsa_circRNA_102517,hsa_circ_0005325
hsa_circRNA_062439,hsa_circ_0062439
hsa_circRNA_079614,hsa_circ_0079614
hsa_circRNA_002084,hsa_circ_0002084
hsa_circRNA_002509,hsa_circ_0002509
hsa_circRNA_100224,hsa_circ_0012421
hsa_circRNA_100837,hsa_circ_0022537
hsa_circRNA_103339,hsa_circ_0005870
hsa_circRNA_101204,hsa_circ_0029346
hsa_circRNA_101526,hsa_circ_0035403
hsa_circRNA_000010,hsa_circ_0000263
hsa_circRNA_102821,hsa_circ_0056472
hsa_circRNA_023305,hsa_circ_0023305
hsa_circRNA_092392,hsa_circ_0000368
hsa_circRNA_062160,hsa_circ_0062160
hsa_circRNA_102245,hsa_circ_0046448
hsa_circRNA_002953,hsa_circ_0002953
hsa_circRNA_016458,hsa_circ_0016458
hsa_circRNA_038480,hsa_circ_0038480
hsa_circRNA_103029,hsa_circ_0059955
hsa_circRNA_031830,hsa_circ_0031830
hsa_circRNA_031831,hsa_circ_0031831
hsa_circRNA_101089,hsa_circ_0027261
hsa_circRNA_009181,hsa_circ_0009181
hsa_circRNA_103845,hsa_circ_0072568
hsa_circRNA_102984,hsa_circ_0006117
hsa_circRNA_001126,hsa_circ_0001126
hsa_circRNA_100499,hsa_circ_0004039
hsa_circRNA_088749,hsa_circ_0088749
hsa_circRNA_005432,hsa_circ_0005432
hsa_circRNA_100735,hsa_circ_0020749
hsa_circRNA_104191,hsa_circ_0077913
hsa_circRNA_022382,hsa_circ_0022382
hsa_circRNA_102618,hsa_circ_0052612
hsa_circRNA_100576,hsa_circ_0018037
hsa_circRNA_005303,hsa_circ_0005303
hsa_circRNA_043650,hsa_circ_0043650
hsa_circRNA_007011,hsa_circ_0007011
hsa_circRNA_100808,hsa_circ_0003110
hsa_circRNA_101904,hsa_circ_0040827
hsa_circRNA_002197,hsa_circ_0002197
hsa_circRNA_101661,hsa_circ_0037078
hsa_circRNA_092498,hsa_circ_0001104
hsa_circRNA_039400,hsa_circ_0039400
hsa_circRNA_100757,hsa_circ_0021110
hsa_circRNA_009068,hsa_circ_0009068
hsa_circRNA_003673,hsa_circ_0003673
hsa_circRNA_100076,hsa_circ_0010430
hsa_circRNA_102951,hsa_circ_0058805
hsa_circRNA_011898,hsa_circ_0011898
hsa_circRNA_043285,hsa_circ_0043285
hsa_circRNA_104924,hsa_circ_0008240
hsa_circRNA_104531,hsa_circ_0001771
hsa_circRNA_091725,hsa_circ_0091725
hsa_circRNA_002416,hsa_circ_0002416
hsa_circRNA_075671,hsa_circ_0075671
hsa_circRNA_101914,hsa_circ_0041019
hsa_circRNA_100568,hsa_circ_0017979
hsa_circRNA_100258,hsa_circ_0008433
hsa_circRNA_104403,hsa_circ_0080628
hsa_circRNA_004087,hsa_circ_0004087
hsa_circRNA_100662,hsa_circ_0006654
hsa_circRNA_001062,hsa_circ_0001062
hsa_circRNA_100343,hsa_circ_0014295
hsa_circRNA_035861,hsa_circ_0035861
hsa_circRNA_103990,hsa_circ_0003967
hsa_circRNA_059847,hsa_circ_0059847
hsa_circRNA_005593,hsa_circ_0005593
hsa_circRNA_061343,hsa_circ_0061343
hsa_circRNA_061900,hsa_circ_0061900
hsa_circRNA_087856,hsa_circ_0087856
hsa_circRNA_100780,hsa_circ_0021569
hsa_circRNA_105023,hsa_circ_0002153
hsa_circRNA_103563,hsa_circ_0008583
hsa_circRNA_068465,hsa_circ_0068465
hsa_circRNA_066556,hsa_circ_0066556
hsa_circRNA_002837,hsa_circ_0002837
hsa_circRNA_058060,hsa_circ_0058060
hsa_circRNA_101608,hsa_circ_0036408
hsa_circRNA_018758,hsa_circ_0018758
hsa_circRNA_101754,hsa_circ_0038465
hsa_circRNA_022149,hsa_circ_0022149
hsa_circRNA_009044,hsa_circ_0009044
hsa_circRNA_105005,hsa_circ_0090879
hsa_circRNA_100740,hsa_circ_0006430
hsa_circRNA_102027,hsa_circ_0042961
hsa_circRNA_103740,hsa_circ_0001439
hsa_circRNA_102672,hsa_circ_0003195
hsa_circRNA_007468,hsa_circ_0007468
hsa_circRNA_103424,hsa_circ_0066642
hsa_circRNA_003200,hsa_circ_0003200
hsa_circRNA_101406,hsa_circ_0000557
hsa_circRNA_101619,hsa_circ_0036516
hsa_circRNA_000224,hsa_circ_0000224
hsa_circRNA_021526,hsa_circ_0021526
hsa_circRNA_083423,hsa_circ_0083423
hsa_circRNA_101335,hsa_circ_0031482
hsa_circRNA_000859,hsa_circ_0000859
hsa_circRNA_070829,hsa_circ_0070829
hsa_circRNA_103361,hsa_circ_0001296
hsa_circRNA_102927,hsa_circ_0058493
hsa_circRNA_001526,hsa_circ_0001526
hsa_circRNA_104975,hsa_circ_0089823
hsa_circRNA_048410,hsa_circ_0048410
hsa_circRNA_018634,hsa_circ_0018634
hsa_circRNA_005585,hsa_circ_0005585
hsa_circRNA_004580,hsa_circ_0004580
hsa_circRNA_001985,hsa_circ_0001985
hsa_circRNA_092566,hsa_circ_0001678
hsa_circRNA_104672,hsa_circ_0003304
hsa_circRNA_015524,hsa_circ_0015524
hsa_circRNA_092436,hsa_circ_0000709
hsa_circRNA_104210,hsa_circ_0007828
hsa_circRNA_104782,hsa_circ_0087071
hsa_circRNA_034693,hsa_circ_0034693
hsa_circRNA_102032,hsa_circ_0008604
hsa_circRNA_001937,hsa_circ_0000700
hsa_circRNA_030431,hsa_circ_0030431
hsa_circRNA_092519,hsa_circ_0001233
hsa_circRNA_000464,hsa_circ_0000464
hsa_circRNA_063453,hsa_circ_0063453
hsa_circRNA_042079,hsa_circ_0042079
hsa_circRNA_101034,hsa_circ_0007723
hsa_circRNA_006192,hsa_circ_0006192
hsa_circRNA_079279,hsa_circ_0079279
hsa_circRNA_047448,hsa_circ_0047448
hsa_circRNA_104084,hsa_circ_0075829
hsa_circRNA_070692,hsa_circ_0070692
hsa_circRNA_103514,hsa_circ_0006156
hsa_circRNA_101992,hsa_circ_0002896
hsa_circRNA_092416,hsa_circ_0000593
hsa_circRNA_090797,hsa_circ_0090797
hsa_circRNA_102346,hsa_circ_0047398
hsa_circRNA_101825,hsa_circ_0008242
hsa_circRNA_002567,hsa_circ_0002567
hsa_circRNA_101630,hsa_circ_0036627
hsa_circRNA_007258,hsa_circ_0007258
hsa_circRNA_001830,hsa_circ_0001370
hsa_circRNA_101890,hsa_circ_0040708
hsa_circRNA_101355,hsa_circ_0031933
hsa_circRNA_101129,hsa_circ_0007007
hsa_circRNA_062557,hsa_circ_0062557
hsa_circRNA_102750,hsa_circ_0055004
hsa_circRNA_104424,hsa_circ_0008751
hsa_circRNA_103179,hsa_circ_0062593
hsa_circRNA_102674,hsa_circ_0053932
hsa_circRNA_100445,hsa_circ_0016404
hsa_circRNA_102459,hsa_circ_0049613
hsa_circRNA_100213,hsa_circ_0000069
hsa_circRNA_017215,hsa_circ_0017215
hsa_circRNA_092470,hsa_circ_0000941
hsa_circRNA_000931,hsa_circ_0001045
hsa_circRNA_102726,hsa_circ_0001009
hsa_circRNA_074018,hsa_circ_0074018
hsa_circRNA_007672,hsa_circ_0007672
hsa_circRNA_101343,hsa_circ_0031632
hsa_circRNA_101382,hsa_circ_0008682
hsa_circRNA_102823,hsa_circ_0002291
hsa_circRNA_103676,hsa_circ_0070133
hsa_circRNA_058188,hsa_circ_0058188
hsa_circRNA_039934,hsa_circ_0039934
hsa_circRNA_002115,hsa_circ_0001676
hsa_circRNA_002004,hsa_circ_0002004
hsa_circRNA_104371,hsa_circ_0001708
hsa_circRNA_100363,hsa_circ_0014717
hsa_circRNA_102332,hsa_circ_0047288
hsa_circRNA_063147,hsa_circ_0063147
hsa_circRNA_102631,hsa_circ_0005556
hsa_circRNA_101797,hsa_circ_0000690
hsa_circRNA_009074,hsa_circ_0009074
hsa_circRNA_006515,hsa_circ_0006515
hsa_circRNA_037192,hsa_circ_0037192
hsa_circRNA_003998,hsa_circ_0003998
hsa_circRNA_066970,hsa_circ_0066970
hsa_circRNA_102711,hsa_circ_0054406
hsa_circRNA_003131,hsa_circ_0003131
hsa_circRNA_101467,hsa_circ_0034293
hsa_circRNA_007136,hsa_circ_0007136
hsa_circRNA_101418,hsa_circ_0032825
hsa_circRNA_030340,hsa_circ_0030340
hsa_circRNA_011588,hsa_circ_0011588
hsa_circRNA_000104,hsa_circ_0000266
hsa_circRNA_101490,hsa_circ_0000592
hsa_circRNA_102560,hsa_circ_0051245
hsa_circRNA_021714,hsa_circ_0021714
hsa_circRNA_000624,hsa_circ_0000751
hsa_circRNA_102347,hsa_circ_0000842
hsa_circRNA_001152,hsa_circ_0001152
hsa_circRNA_005135,hsa_circ_0005135
hsa_circRNA_044097,hsa_circ_0044097
hsa_circRNA_105033,hsa_circ_0002372
hsa_circRNA_049851,hsa_circ_0049851
hsa_circRNA_103700,hsa_circ_0070421
hsa_circRNA_103773,hsa_circ_0003437
hsa_circRNA_031607,hsa_circ_0031607
hsa_circRNA_103515,hsa_circ_0067991
hsa_circRNA_104396,hsa_circ_0002690
hsa_circRNA_026129,hsa_circ_0026129
hsa_circRNA_104527,hsa_circ_0083054
hsa_circRNA_060078,hsa_circ_0060078
hsa_circRNA_100800,hsa_circ_0021773
hsa_circRNA_036389,hsa_circ_0036389
hsa_circRNA_100786,hsa_circ_0005974
hsa_circRNA_007878,hsa_circ_0007878
hsa_circRNA_103854,hsa_circ_0004418
hsa_circRNA_003850,hsa_circ_0003850
hsa_circRNA_103344,hsa_circ_0001290
hsa_circRNA_001314,hsa_circ_0001314
hsa_circRNA_008289,hsa_circ_0008289
hsa_circRNA_004092,hsa_circ_0004092
hsa_circRNA_007877,hsa_circ_0007877
hsa_circRNA_101507,hsa_circ_0035052
hsa_circRNA_010009,hsa_circ_0010009
hsa_circRNA_003196,hsa_circ_0003196
hsa_circRNA_103286,hsa_circ_0003862
hsa_circRNA_023641,hsa_circ_0023641
hsa_circRNA_101098,hsa_circ_0027493
hsa_circRNA_105041,hsa_circ_0092125
hsa_circRNA_104006,hsa_circ_0074945
hsa_circRNA_019061,hsa_circ_0019061
hsa_circRNA_043523,hsa_circ_0043523
hsa_circRNA_103407,hsa_circ_0007761
hsa_circRNA_035152,hsa_circ_0035152
hsa_circRNA_100394,hsa_circ_0015272
hsa_circRNA_101275,hsa_circ_0030428
hsa_circRNA_101329,hsa_circ_0031408
hsa_circRNA_003627,hsa_circ_0003627
hsa_circRNA_047807,hsa_circ_0047807
hsa_circRNA_102447,hsa_circ_0005360
hsa_circRNA_100521,hsa_circ_0017438
hsa_circRNA_102695,hsa_circ_0054134
hsa_circRNA_104543,hsa_circ_0083172
hsa_circRNA_040698,hsa_circ_0040698
hsa_circRNA_103224,hsa_circ_0063329
hsa_circRNA_001264,hsa_circ_0000086
hsa_circRNA_102595,hsa_circ_0052095
hsa_circRNA_000155,hsa_circ_0000155
hsa_circRNA_002533,hsa_circ_0002533
hsa_circRNA_101533,hsa_circ_0003713
hsa_circRNA_036783,hsa_circ_0036783
hsa_circRNA_033075,hsa_circ_0033075
hsa_circRNA_005202,hsa_circ_0005202
hsa_circRNA_008337,hsa_circ_0008337
hsa_circRNA_001621,hsa_circ_0001621
hsa_circRNA_104400,hsa_circ_0006944
hsa_circRNA_000115,hsa_circ_0000115
hsa_circRNA_100172,hsa_circ_0011615
hsa_circRNA_091025,hsa_circ_0091025
hsa_circRNA_043781,hsa_circ_0043781
hsa_circRNA_000814,hsa_circ_0000381
hsa_circRNA_000459,hsa_circ_0000459
hsa_circRNA_100749,hsa_circ_0020927
hsa_circRNA_040822,hsa_circ_0040822
hsa_circRNA_103162,hsa_circ_0062317
hsa_circRNA_103655,hsa_circ_0007883
hsa_circRNA_007054,hsa_circ_0007054
hsa_circRNA_104546,hsa_circ_0083176
hsa_circRNA_004471,hsa_circ_0004471
hsa_circRNA_101543,hsa_circ_0000607
hsa_circRNA_103674,hsa_circ_0070113
hsa_circRNA_086441,hsa_circ_0086441
hsa_circRNA_100612,hsa_circ_0008523
hsa_circRNA_101708,hsa_circ_0006979
hsa_circRNA_092536,hsa_circ_0001382
hsa_circRNA_071511,hsa_circ_0071511
hsa_circRNA_022358,hsa_circ_0022358
hsa_circRNA_002765,hsa_circ_0002765
hsa_circRNA_005629,hsa_circ_0005629
hsa_circRNA_001682,hsa_circ_0001682
hsa_circRNA_103842,hsa_circ_0072547
hsa_circRNA_100639,hsa_circ_0019005
hsa_circRNA_100828,hsa_circ_0022308
hsa_circRNA_102851,hsa_circ_0008032
hsa_circRNA_100924,hsa_circ_0000347
hsa_circRNA_101167,hsa_circ_0005916
hsa_circRNA_020496,hsa_circ_0020496
hsa_circRNA_005965,hsa_circ_0005965
hsa_circRNA_065722,hsa_circ_0065722
hsa_circRNA_059180,hsa_circ_0059180
hsa_circRNA_100601,hsa_circ_0007113
hsa_circRNA_027934,hsa_circ_0027934
hsa_circRNA_041630,hsa_circ_0041630
hsa_circRNA_063313,hsa_circ_0063313
hsa_circRNA_043602,hsa_circ_0043602
hsa_circRNA_023143,hsa_circ_0023143
hsa_circRNA_060540,hsa_circ_0060540
hsa_circRNA_069235,hsa_circ_0069235
hsa_circRNA_039830,hsa_circ_0039830
hsa_circRNA_070660,hsa_circ_0070660
hsa_circRNA_043366,hsa_circ_0043366
hsa_circRNA_023617,hsa_circ_0023617
hsa_circRNA_028921,hsa_circ_0028921
hsa_circRNA_076700,hsa_circ_0076700
hsa_circRNA_054937,hsa_circ_0054937
hsa_circRNA_058712,hsa_circ_0058712
hsa_circRNA_104584,hsa_circ_0083861
hsa_circRNA_103610,hsa_circ_0002785
hsa_circRNA_069236,hsa_circ_0069236
hsa_circRNA_100324,hsa_circ_0013966
hsa_circRNA_000570,hsa_circ_0000570
hsa_circRNA_045579,hsa_circ_0045579
hsa_circRNA_039254,hsa_circ_0039254
hsa_circRNA_103053,hsa_circ_0007094
hsa_circRNA_103030,hsa_circ_0005868
hsa_circRNA_025984,hsa_circ_0025984
hsa_circRNA_037615,hsa_circ_0037615
hsa_circRNA_042882,hsa_circ_0042882
hsa_circRNA_103841,hsa_circ_0072492
hsa_circRNA_102898,hsa_circ_0005307
hsa_circRNA_100599,hsa_circ_0018403
hsa_circRNA_001035,hsa_circ_0001035
hsa_circRNA_008608,hsa_circ_0008608
hsa_circRNA_002045,hsa_circ_0000399
hsa_circRNA_036272,hsa_circ_0036272
hsa_circRNA_024529,hsa_circ_0024529
hsa_circRNA_100940,hsa_circ_0006286
hsa_circRNA_024596,hsa_circ_0024596
hsa_circRNA_103887,hsa_circ_0002490
hsa_circRNA_101699,hsa_circ_0004344
hsa_circRNA_001810,hsa_circ_0001810
hsa_circRNA_039183,hsa_circ_0039183
hsa_circRNA_039466,hsa_circ_0039466
hsa_circRNA_018100,hsa_circ_0018100
hsa_circRNA_101869,hsa_circ_0005016
